Var1,V
Actr2,1
Cttn,1
Arpc5,1
Actr3,1
Arpc4,1
Vcam1,2
Gja1,1
Cct3,3
Cct2,3
Flot1,4
Snca,4
Sh3gl1,1
Sh3glb1,5
Calr,5
Stxbp1,1
Arpc2,1
Tnik,1
Ppp1cb,1
Grb2,1
Capza2,1
Actb,1
Ywhab,1
Ywhae,5
Ywhaz,1
Myo6,1
Wasf1,1
Egfr,3
Xpo1,3
Psmc3,6
Dbn1,1
Cct5,3
Tcp1,3
Capza1,1
Gsn,1
Tpm1,1
Clta,1
Cct7,3
Cct4,3
Coro1a,1
Psmd7,6
Myh10,1
Prkaa1,2
Cfl1,5
Ube2n,5
Cul3,2
Arpc3,1
Arpc1a,1
Gspt1,2
Ogt,3
Rtn1,1
Grpel1,3
Coro1b,1
Myh9,1
Hsd17b10,5
Cct8,3
Cct6a,3
Calu,3
Ruvbl1,3
Tpd52l2,5
Hspbp1,3
Fam98b,2
Ttll12,3
Ppp1r12a,1
Ppme1,5
Cltb,1
Basp1,1
Efhd2,5
Actr3b,3
Arpc5l,1
Coro1c,1
Nif3l1,5
Myo18a,1
Specc1,1
Cep170,1
Prkacb,1
Pank4,1
Actc1,1
2510003E04Rik,1
Alad,5
Synpo,1
Rdx,5
Hip1r,1
Ctnna1,1
Dnm1,1
Dnm2,1
Pak1,1
Flot2,4
Mbp,1
Src,1
Abl2,1
Bcar1,1
Ctnnd1,1
Rps27a,2
Thy1,4
Grin2b,1
Grin1,1
Cdc37,3
Npm1,2
Ptk2,1
Tjp1,1
Asap1,1
Atp6v1c1,4
Atg7,7
Pak2,1
Ctnnd2,1
Hdac6,3
Srcin1,1
Wasl,1
Abi1,1
Cops7a,2
Uso1,1
Arrb1,1
Mycbp2,1
Snx1,7
Kcna2,1
Yes1,1
Hax1,4
Kcnma1,5
Vta1,4
Nck1,1
Mapk1,1
Shank2,1
Ide,4
Cttnbp2,3
Gars,3
Oxct1,5
Rpl9,2
Suclg2,4
Pdha1,4
Syncrip,2
Sars,3
Snx2,7
Shmt2,7
Pgls,5
Apeh,7
Pdk2,5
Me1,5
Exoc8,7
Wash,7
Prkaca,1
Capzb,1
Eif3h,2
Zwint,4
Tuba4a,3
Vps13a,4
Abce1,6
Vps13c,4
Lasp1,1
Mapk3,3
Wasf3,1
Atp1a1,4
Vcl,1
Ube3a,6
Atp1b1,4
Cat,5
Uggt1,3
Tnpo3,3
Ppp2ca,3
Cyfip1,1
Dlg4,1
Pfn2,1
Eif3k,2
Pdia6,5
Vbp1,3
Acvr1b,3
Pak3,1
Camkk1,1
Wdr1,5
Hsp90aa1,3
Hsp90ab1,3
Nedd4l,1
Bag6,3
Smad2,1
Tsnax,5
Os9,3
Fkbp1a,5
Vps16,7
Tmem30a,4
Bmpr2,3
Tsc22d1,4
Nck2,1
Fxr1,1
Git1,1
Hcn1,1
Rac1,1
Arhgef7,1
Syn1,1
Rras,1
Itsn1,1
Ywhah,5
App,5
Calm1,1
Ywhaq,1
Ywhag,1
Dlg1,1
Spag9,1
Camk4,1
Anxa7,5
Nos1,1
Camk1,1
Ddb1,2
Rps10,2
Brinp1,3
Ruvbl2,3
Camk1d,5
Ctbp1,5
Canx,4
Csnk2b,3
Msn,5
Ezr,1
Mapre1,1
Rab4a,4
Eif5a,5
Ldha,5
Rab33b,5
Prdx6,5
Nme2,5
Rab1,4
Thop1,5
Ldhb,5
Nme1,5
Got1,5
Hspe1,5
Adss,5
Tkt,5
Eno2,5
Taldo1,5
Dstn,5
Txn1,5
Cfl2,5
Gmppb,5
Usp7,6
Txndc17,5
Gpi1,5
Rab5c,4
Rab35,4
Ube2k,5
Itpa,5
Ggct,5
Uap1,4
Nagk,5
Rab4b,4
Rab27b,4
Rab21,5
Tsc1,1
Vcp,3
Bcap31,4
Ufd1l,5
Psmb5,6
Ppp1ca,1
Gna13,3
Gdi2,4
Pls3,5
Mapk10,1
Arhgdia,5
Hsph1,3
L1cam,1
P4hb,5
Hspa4,3
Gabra5,1
Rcn1,5
Eef2,2
Clic1,5
Uchl3,5
Akr1b3,5
Stip1,5
Fabp5,5
Acaa2,5
Cpne1,1
Mrpl12,4
Slc9a3r2,1
Slc9a3r1,5
Pgd,5
Ppa1,5
Txnrd2,5
Trappc10,8
Cpne2,1
Vps11,7
Cpne4,2
Hspa8,3
Snd1,2
Kpnb1,3
Tubb5,3
Pfn1,1
Pabpc1,2
Prmt5,2
Emd,4
Scrib,1
Eps15,1
Ap2s1,1
Apoe,3
Arf1,4
Pdcd6ip,5
Rps11,2
Eif2s1,2
Etf1,2
Rps16,2
Rps17,2
Rps13,2
Rps7,2
Rps25,2
Rps9,2
Rps5,2
Rps26,2
Rps28,2
Rpsa,2
Psmc5,6
Diap1,1
Rpl8,2
Phb2,4
Hspa5,3
Pafah1b3,5
Chmp2a,4
Mdh2,5
Psmb6,6
Psma7,6
Psma6,6
Psma3,6
Psma4,6
Psma5,6
Psma1,6
Crkl,1
Pin1,5
Acp1,5
Psmd2,6
Ap2m1,1
Ppp2r1a,3
Ran,3
Rpl10,2
Cacybp,5
Pdcd6,5
Psmb1,6
Hspa1a,3
Gapdh,5
Psmd3,6
Psmd11,6
Arf5,4
Cltc,1
Ptpn11,1
Rps3,2
Vim,1
Dync1h1,1
Nudc,3
Hspd1,4
Hnrnpa2b1,2
Gnb2l1,2
Gnb1,3
Psmc6,6
Psmd12,6
Sec31a,5
Sri,5
Tln1,1
Atp5b,4
Eif3a,2
Eif3e,2
Aco2,5
Hnrnpd,2
Vapa,4
Hspa9,3
Gcn1l1,3
Epn1,1
Eif3d,2
Eif3i,2
Eif3c,2
Eif3b,2
Atp5a1,4
Psmd13,6
Smap2,4
Sept7,7
Csnk1a1,3
Eif4e,2
Wdfy3,4
Aldoa,5
Eif4g1,2
Itgb1,1
Stmn1,3
Psmb2,6
Trappc3,8
Vdac1,4
Copa,4
Arcn1,4
Vps35,7
Anxa2,1
Mllt4,1
Map4,1
Pi4ka,1
Hnrnpk,2
Ppia,5
Zyx,5
Eef1a1,2
Eef1g,2
Eif4a1,2
Fasn,3
Ap2a1,1
Actn4,1
Rap1b,4
Glrx3,5
Strap,5
Agfg1,5
Gstp1,5
Cycs,4
Ybx1,2
Rpl5,2
Tfam,4
Tpr,2
Eef1b2,2
Ctsd,4
Eps15l1,1
Prdx1,5
Lrpprc,4
Slirp,4
Rpl13a,2
Napa,7
Tfrc,4
Snap29,7
Plec,1
Sptbn1,1
Rps6,2
Gnai3,3
Rpn1,4
Ube2m,2
Pcbp2,2
Rpl6,2
Ddx1,2
Pcbp1,5
Snx3,5
Dhx30,2
Myl6,1
Mrps23,2
Lonp1,4
Cad,3
Psmd9,6
Pdcd10,3
Phb,4
Asns,5
Lypla1,5
Trap1,5
Coasy,5
Paics,5
Lars,2
Phgdh,5
Iars,2
Aars,5
Eprs,2
Ndufs3,4
Sdha,4
Sept11,7
Tufm,2
Rpl22,2
Rpl7,2
Rpl27a,2
Rps21,2
Rpl11,2
Rps14,2
Rpl7a,2
Rpl26,2
Rpl3,2
Rps2,2
Rpl4,2
Rpl18,2
Rps18,2
Rpl18a,2
Rpl23,2
Rpl15,2
Rpl31,2
Rps19,2
Rps8,2
Rpl13,2
Rps20,2
Rps24,2
Rpl12,2
Rplp0,2
Rpl30,2
Rpl14,2
Rpl35,2
Rps23,2
Rpl38,2
Rpl21,2
Rpl10a,2
Rpl24,2
Rpl19,2
Rpl17,2
Rps15a,2
Slc25a5,2
Atp5c1,4
Ak2,5
Sdhb,4
Acat1,4
Pfkl,5
Pkm,5
Prdx2,5
Picalm,1
Ddost,4
Vdac2,4
Atp5o,4
Ndufa2,4
Ndufs1,4
Mif,5
Aldh18a1,4
Fscn1,5
Hnrnph1,2
Hnrnpu,2
Eif3l,2
Gart,5
Esd,5
Ranbp1,5
Tars,3
Chmp4b,4
Ist1,4
Cse1l,5
Decr1,2
Pycr2,4
Ddx3x,2
Mthfd1,5
Sec61b,4
Ubr4,6
Gstk1,4
Ddx5,2
Upf1,2
Atxn2l,2
Naca,5
Gmps,5
Hnrnpa0,2
Vars,2
Ipo7,3
Atad3a,4
Eif4h,2
Ppt1,4
Rars,2
Dars,2
Mars,2
Ganab,3
Lypla2,5
Pfdn2,3
Akr7a5,5
Eef1d,2
Ipo5,3
Chchd3,4
Immt,4
Pfkp,5
Tnpo1,3
Tubb4b,3
Hadha,4
Ppid,3
Farsb,3
Eif4g2,2
Bcs1l,4
Prdx3,2
Ptpn23,4
Yars,2
Rab10,4
Sar1b,5
Srm,5
Tomm34,3
Hip1,1
Rap2b,1
Ddah2,5
Sema4d,1
Tubb6,3
Larp1,2
Caprin1,2
Prmt1,2
Cnbp,2
Pgam5,4
Ddx6,2
Prrc2c,2
Slc2a1,5
Lrrc59,4
Fkbp4,3
Myl4,5
Blvrb,5
Rpl28,2
Macrod1,5
Podxl2,4
Hras,1
Epha4,3
Fmr1,1
Shc3,1
Gsk3b,1
Ctnnb1,1
Arhgap32,1
Usp9x,3
Ptprs,1
Cul4a,2
Ppp2cb,3
Ppp3ca,1
Rin1,1
Tsc2,1
Arhgef2,1
Nefl,1
Camk2b,1
Camk2d,1
Camk2a,1
Kras,3
Appl2,1
Shank3,1
Sec23a,3
Dnaja4,3
Kif5c,1
Rab11fip5,1
Eif3f,2
Rptor,3
Rheb,1
Nckap1,1
Dnaja1,3
Trim3,1
Cdk5,1
Pura,2
Tmed10,4
Clasp1,1
Lgi1,1
Becn1,7
Prkcg,1
Dap3,2
Sestd1,1
Rab7,4
Prkcb,1
Tmed9,4
Tnr,1
Syngap1,1
Rab14,4
Lamtor1,4
Fth1,5
Pam,1
Mrps9,2
Dnaja2,3
Pak7,4
Ndufb10,4
Pygb,5
Fxr2,1
Ampd2,1
Appl1,1
Fam49b,5
Eif4a2,2
Rragc,4
Camk2g,1
Rasal1,1
Cyfip2,1
Mink1,1
Ncan,1
Cnrip1,1
Wnk2,1
Ppm1h,1
Soga3,1
Fbxo41,1
Celsr2,1
Tenm2,4
Rab5b,4
Park7,5
Rab8a,4
Vps4b,4
Gdi1,4
Rab5a,4
Rabep1,1
Uqcrc2,4
Eea1,7
Kcnab2,1
Ciapin1,5
Rab11b,4
Chm,4
Ocrl,1
Rab1b,4
Etfa,4
Ndufs8,4
Yipf5,4
Rab2a,4
Rap1a,1
Reep5,4
Stxbp5l,4
Uhrf1bp1l,4
Osbpl1a,4
Fau,2
Eif2s3x,2
Stub1,3
Vamp2,7
Usp19,3
Syp,4
Rab3a,4
Sept2,7
Dnm1l,5
Tuba1a,3
Hsp90b1,3
Map1b,1
Actn1,1
Dpysl2,3
Uqcrh,5
Sod1,5
Serbp1,2
Copb2,4
Myl12b,1
Cnksr2,1
Prdx5,5
Babam1,6
Dld,5
Ndufa4,4
Hint1,5
Mdh1,5
Tpi1,5
Suclg1,4
Rpl27,2
Pdhb,5
Atp6v1a,4
Atp5j,4
Acly,5
Pdap1,3
Tpm3,1
Pptc7,5
Nit2,5
Tmod2,1
ND1,4
Oat,5
Tcea1,5
Rpl23a,2
Rpl32,5
Htt,4
Ap1b1,1
Dynll1,3
Tsg101,4
Sh3kbp1,1
Gak,1
Cd81,2
Ralbp1,1
Reps1,1
Ndrg1,2
2700060E02Rik,2
Wars,5
Comtd1,2
Vps28,4
Ppm1a,1
Scn2b,7
8430419L09Rik,7
Mfsd4,4
Araf,3
Rgs12,3
Dync1i2,1
Braf,3
Pik3r1,1
Map2k2,3
Map2k1,1
Aifm1,4
Cops3,2
Wnk1,1
Rab3ip,8
Ass1,5
Tecr,4
Timm50,4
Ccdc22,2
Timm44,4
Faf2,4
Usmg5,4
Slc25a22,3
Ubxn6,3
Rcn2,3
Nras,3
Ppp6c,3
Rras2,1
Dpm1,3
Cacna1b,1
Grm2,1
Plcb1,2
Gnai1,3
Dlgap3,1
Bcr,1
Grm5,1
Gnai2,3
Ndel1,1
Dctn1,1
Kpna6,3
Crocc,1
Dynlrb1,1
Dync1li2,2
Dync1li1,1
Dynll2,3
Rhob,1
Prkcsh,3
Ksr1,3
Crk,1
Prkca,1
Prkce,1
Traf3,1
Ctsl,1
Copb1,4
Cyld,2
Mras,6
Rab3gap1,4
Psme1,6
Ccdc88a,3
Rap1gap,1
Armcx3,3
Sh3gl3,1
Stk11,3
Rapgef2,1
Mapk8,3
Rasgrf1,1
Ppp1r13b,1
Atg3,5
Rabgef1,1
Fyn,1
Rapgef4,1
Rgs14,3
S1pr1,3
Dgkz,1
Ntrk3,1
Rala,7
Fnta,1
Nf1,1
Vdac3,4
Ttc1,3
Mgst3,4
Dab2ip,1
Ptprj,1
Snx27,5
Fam213b,3
Cyp51,1
Hdhd2,1
Ckb,5
Klc1,1
Abcb7,4
Cul1,2
Map1lc3a,2
Erp44,5
Pgam2,5
Gabarapl2,2
Aldoc,5
Dlst,4
Nans,5
Tbcb,5
Huwe1,6
G6pdx,5
Cndp2,5
Ubfd1,5
Npepps,5
Mapk8ip3,1
Skp1a,6
Mapt,3
Kif5b,6
Kif5a,1
Copz1,4
Sort1,4
Clstn1,4
Klc2,1
Kif2a,1
Rab11fip2,1
Exoc3,7
Csnk1d,1
Atcay,5
Bsdc1,4
Avl9,3
Fam63b,4
Ppp5c,3
Set,3
Trim9,1
Dnajb11,3
Snap25,7
Hyou1,3
Pafah1b1,1
Dnajb1,3
Psmd14,6
Psma2,6
Dnajb6,3
Hgs,1
Dnajc5,7
Bag5,3
Lamp2,4
Uchl1,3
Enah,1
Kcnd2,5
Cops6,2
Cops5,2
Cand1,2
Ap3d1,7
Tubg1,3
Prnp,3
Slc12a2,3
Srp54a,2
Pdlim5,1
Psmd6,6
C1qbp,4
Dpysl5,3
Gfap,1
Dnaja3,3
Tomm40,4
Eif4g3,2
Lman1,4
Rad23b,6
Atxn2,1
Tomm20,4
Rps6ka3,3
Cul5,2
Akap5,1
Pacsin1,1
Ubqln2,6
Asna1,6
Kcnd3,3
Cnn3,5
Gabrb1,1
Atxn10,3
Dbi,5
Pacsin2,1
Hspa4l,3
Gnas,3
Ahsa1,2
Actr1a,1
Mlf2,3
Tomm22,4
Dcun1d1,2
Samm50,4
Tomm70a,4
St13,3
Cul2,2
Dnajb4,3
Apoa1bp,5
Nlrx1,2
Sgta,6
Pdia3,5
Fdps,5
Dnajb14,3
Dnajb12,3
Hspa2,3
Dnajc3,3
Aldh3a2,4
Cul4b,2
Ckap5,1
Got2,5
Usp46,3
Nfs1,4
Hdlbp,7
Armc1,3
Ppp6r1,3
Pdpk1,1
Ndrg2,3
Dnajc11,4
Bpnt1,4
Cdk5rap3,4
Ppp6r3,3
Csde1,2
Alb,5
Drg2,3
Sugt1,3
Wdr37,3
A830010M20Rik,4
Hace1,1
Dnajb2,3
Endog,3
Dpp3,5
Lpgat1,4
4833439L19Rik,4
Agpat3,6
Fam73b,3
Dip2a,3
Prodh,3
Efnb2,1
Efnb1,1
Ephb2,1
Dnm3,1
Ephb3,1
Pick1,1
Homer1,1
Grm1,1
Grip1,1
Ephb1,1
Ephb6,1
Fam120a,2
Sipa1l1,1
Atp2b2,4
Mtmr1,1
Sbf1,1
Dip2b,1
Fam171a2,1
Epha5,5
Map7d2,6
Tex2,4
Cdh2,1
Rps3a1,2
Eef1a2,2
Psmb7,6
Psmd4,6
Sqstm1,3
Lamp1,4
Vps29,7
Cnst,1
Pik3r4,1
Pik3c3,7
Tjp2,1
Prkcd,1
Slc25a4,4
Tubb4a,3
Kalrn,1
Atp1b3,4
Hsd17b12,4
Acadl,5
Kpna1,3
Nefm,1
Pld3,3
Ndufa7,4
Slc39a12,4
Sorbs1,1
Ergic1,4
Sorbs2,1
Ntrk2,1
Erbb4,1
Baiap2,1
Abi2,1
Rtn4,4
Dlgap4,1
Prrc2a,2
Map4k4,1
Etl4,1
Mia3,4
Nckipsd,1
Brk1,1
Asap2,1
Srpk2,1
Vars2,4
Zc2hc1a,1
Wipf3,1
Cpne5,1
Vapb,4
Slc1a1,4
Ngef,1
Tubb2b,3
Armc6,3
Gnaz,3
Epha7,3
Iars2,4
Plcg1,1
Synj1,1
Pafah1b2,5
Igbp1,3
Ptpra,1
Ppp2r2a,3
Wdr77,2
Acaca,3
Psmc2,6
Gnb5,3
Zfyve27,4
Ppp2r2d,3
Cetn2,3
Igsf8,2
Mlst8,3
Tubb3,3
Mob4,3
Anxa5,5
Slc25a3,4
Gnb2,3
Strn4,3
Strn3,3
Strn,3
Stk24,3
Pdk3,3
Nipsnap1,3
Sssca1,3
Kpna4,3
Wdr48,3
Actr1b,1
Pcx,3
Ppp2r4,3
Tubb2a,3
Ppp2r2c,3
Pfdn1,3
Lrrc47,2
Rap2c,3
Tssc1,3
Kif21a,3
Pdcd5,3
Pex14,3
Ptplb,4
Aida,5
Ssr1,4
Nsfl1c,5
Erlin2,4
Eri3,3
Wwp2,2
Rae1,5
Txnl1,6
Cyb5b,4
Dnajc19,4
Pddc1,3
Mtdh,4
Ago2,2
Cs,5
Csnk2a1,3
Pa2g4,2
Ptp4a1,6
Echs1,5
Syt11,2
Idh2,5
Txndc5,5
Pdk1,4
Uba5,5
Aimp1,2
Srp68,2
Rrbp1,2
Sirt2,4
Mtus2,4
Plgrkt,4
Nsf,7
Nutf2,5
Uqcr10,4
Ipo9,3
Hk1,5
Kpna3,3
Ranbp6,3
Hadhb,3
Ptn,6
Hist1h1c,2
Plcd1,7
Chordc1,5
Vps18,7
Lrp1,3
Nudcd3,3
Sptan1,1
Aip,3
Akt3,3
Alg2,5
Ptk2b,1
Trim2,1
Adrbk1,1
Psmd1,6
Rgs7,3
Csnk2a2,3
Prkaa2,3
Slc9a1,1
Cdk14,1
Vps41,7
Gsk3a,1
Rgs6,3
Camkk2,1
Prkg2,3
Trim32,3
Gucy1a3,3
Gucy1b3,3
Psat1,5
Uba1,5
Pgk1,5
Fkbp8,6
Ssr4,4
Cap1,5
Nudcd2,3
Mgea5,3
Crbn,2
Fam162a,4
Preb,3
Tyro3,1
Stk32c,3
Camkv,3
Flii,1
Dclk2,3
Mertk,3
Grk6,3
Matk,3
Ptgds,3
Kcna6,3
Mark4,3
Cask,1
Ncam1,1
Clip1,1
Map6,1
Map1a,1
Htra2,4
Ncald,3
Fnbp1,1
Rab8b,4
Mat2a,5
Tbcd,7
AI314180,6
Eif5,2
Txnrd1,5
Cryz,5
Gdap1,4
Ola1,5
Gfer,5
Arl8b,4
Mat2b,5
Taok2,1
Tnpo2,3
Eml1,3
Daam1,3
Katnal1,3
Katnb1,3
Csnk1g3,1
Prickle2,3
Tbcc,7
Ralgapb,3
Csnk1e,5
Uchl5,6
Crmp1,3
Pclo,1
Gphn,1
Srprb,4
Mast3,1
AI837181,5
Akap12,1
Jup,1
Myo5a,1
Cyc1,4
Rab31,4
Tmed2,4
Ptrh2,4
Fam3c,4
Ndufs6,4
Mrps31,2
Mrps5,2
Sel1l,3
Ict1,4
Gorasp2,4
Emc1,4
Ociad1,4
Slc25a11,4
Mrpl50,4
Spg7,4
Ilvbl,4
Rmdn3,4
Lman2,4
Gng12,3
Lamtor2,4
Zdhhc5,1
Mical3,4
Farp1,1
Abcg2,4
Tmem63b,4
Akap2,1
Golga2,3
Agap2,1
Dlgap1,1
Synj2bp,4
Ptprf,1
Apc,1
Ctnna2,1
Dpysl3,3
Scamp3,4
Ech1,4
Ppib,5
Atp6v1b2,4
Mrpl9,4
Chmp2b,4
Tpd52,5
Nars,2
Ccdc51,4
Fhl2,1
Cdh10,1
Il1rap,1
Cdc42,1
Ppfia3,1
Pebp1,5
Gabra1,1
Arhgap1,1
Gnaq,3
Gria2,1
Gabrg2,1
Gabbr1,1
Eps8,1
Il6st,1
Golga3,4
Dag1,1
Dlgap2,1
Nlgn3,1
Gabbr2,1
Dock3,1
Zdhhc17,1
Ank3,1
Scg2,6
Cmip,1
Gabra3,1
Inpp4a,1
Numb,1
Prkar1a,1
Pex5l,1
Pkp4,1
Arvcf,1
Pdia4,5
Kif3b,1
Neo1,1
Kifap3,1
Gaa,5
Exoc5,7
Sars2,4
Mrpl49,4
Grik2,1
Cdh11,1
Lrrc7,1
Dmd,1
Eif4b,2
Xpo7,3
Iqsec1,1
Armc8,4
Osbp,3
Ap2a2,1
Ap1m1,1
Ranbp9,1
Ap2b1,1
Ina,1
Habp4,1
Mtx1,4
Farsa,3
Uba6,5
Aak1,1
Ankfy1,7
Epb4.1l3,1
Cep170b,1
Grik3,1
Clu,3
Wdr47,1
Ubap2l,1
Lmtk3,1
Elavl4,1
Exog,3
D3Bwg0562e,1
Cacnb4,1
Cacnb1,1
Bin1,1
Macf1,1
Caskin1,1
Iqsec2,1
Ptprn2,1
Ewsr1,1
Bsn,1
Camsap2,1
Dlg2,1
Numbl,1
Magi1,1
Sik3,1
G3bp2,2
Arhgap21,1
Ehd3,7
Purb,2
Cntn1,1
Brsk1,5
Nbea,1
Icam5,5
Cntnap5a,1
Diap2,1
Kcnt1,1
Paip1,2
Rab6a,4
Slc8a1,1
Rpl37a,2
Rplp2,2
Prep,5
Gnpda1,5
Ddx19a,4
Rab23,3
Phyhip,2
Cops4,2
Ctps,2
Srgap2,1
Hecw2,5
Tsn,5
Mrps22,2
Hist1h1e,5
Atp1a3,4
Ptcd3,2
Rpl35a,2
Ndufs2,4
Stoml2,4
Oxa1l,4
Syne1,1
Trove2,3
Tmem33,3
Dhcr7,4
Adsl,5
Lpcat1,5
Capn2,5
Nap1l1,2
Plbd2,5
Reps2,1
Chp1,5
Agps,4
Sord,5
Scyl2,5
Prosc,5
Tars2,4
Sms,5
Ptplad1,3
Cdc42bpb,1
Bphl,4
Wipi2,3
Ikbkap,3
Abcf2,2
Gss,5
Ppif,4
Clic4,5
Dctn2,1
Atp6v1e1,4
Sec13,3
Acss1,4
Gnal,3
Rtcb,2
Nmt1,2
Tom1,5
Stx5a,7
Itpr1,1
Prkar2a,1
Als2,1
Rpn2,4
Psmc1,6
Ryr2,1
Arf6,4
Mfn2,3
Mtor,2
Dnajc10,2
Atg5,5
Psap,4
Gpx4,5
Fbxo2,1
Vcpip1,5
Svip,4
Psmc4,6
Plaa,5
Ptpn9,7
Ubqln1,6
Arih1,5
Ccdc132,7
Arfgef2,1
Scfd1,7
Sec22b,7
Vps53,7
Fermt2,5
Arfgap2,3
Ube2j1,3
Cab39,5
Atp6v1d,4
Txn2,5
Gbas,5
Usp5,5
Adck3,4
Tbc1d9b,4
Slc3a2,4
Add1,1
Comt,4
Mark2,1
Aspscr1,5
Cdc42ep4,7
Ubxn4,4
Bsg,4
Tnks1bp1,1
Rab3gap2,4
Ppap2b,1
Fkbp15,7
Brsk2,2
Lrba,3
Ncdn,4
2310035C23Rik,3
Hsbp1,3
Atl2,4
Rabgap1,4
Tbc1d10b,2
Tollip,7
Gga3,4
Actn2,1
Tom1l2,5
D230025D16Rik,1
Abcb6,4
Oxr1,7
Sh3gl2,1
Gnao1,3
Stx1a,7
Syt2,7
Dync1i1,1
Syn2,1
Usp14,6
Evl,1
Ndufa9,4
Uqcrc1,4
Add3,1
Syt1,1
Epb4.1l1,1
Dock9,1
Asph,4
Cacna2d1,1
Sirpa,1
Stx1b,7
Car4,5
Epb4.1,5
M6pr,4
Ndufv1,4
Ndufv2,4
Etfb,5
Dlat,4
Atp5d,4
Cox5a,4
Ndufb9,4
Cox6b1,4
Sfxn3,4
COX2,4
Mtx2,4
Tacc1,4
Cox6a1,4
Ndufa13,4
Ppa2,4
Ndufa8,4
Ptges2,4
Slc1a2,4
Slc25a12,4
Tpp1,3
Napb,7
Cnp,1
Srgap3,1
Mog,1
Plp1,3
Lsamp,4
Gpm6a,1
Lancl1,4
Rab30,8
Ntm,4
Negr1,4
Slc6a1,7
Mpp1,5
Llgl1,3
Palm,1
Cdh13,4
Diras2,4
F8a,8
Cryl1,3
Syt12,3
Aplp1,5
Ddi2,6
